DATA_TYPE;NEW_DATATYPE
BIGINT;bigint
BIT;boolean
BLOB;string
BOOLEAN;boolean
CHAR;string
CLOB;string
CLOB/TEXT;string
DATE;timestamp
DATETIME;timestamp
DECIMAL;decimal
FLOAT;double
INT;int
INT2;int
INT4;int
NCLOB/NTEXT;string
NTEXT;string
NUMBER;float
NUMERIC;bigint
NVARCHAR;string
NVARCHAR2;string
RAW;string
SMALLDATETIME;timestamp
SMALLINT;smallint
STRING;string
TEXT;string
TIMESTAMP;timestamp
TINYINT;tinyint
UINT1;int
UNIQUEIDENTIFIER;string
VARCHAR;string
VARCHAR2;string
WSTRING;string
